feature,source_files,API,database_model,migration,V197_control,bridge_binding,real_test,current_status,missing_work,external_dependency
Teach NUR,"app/learning/routes.py; app/learning/service.py","/teach-nur/contributions/*","TeachingContribution; TeachingRevision","0024",none,"API client only","test_teach_nur.py",PARTIAL,"Add canonical V197 submit review accept reject correct version surface",none
Glow,"app/api/v1/glow.py; app/services/glow.py","/glow/*","GlowTransaction; Level; Reward; Quest","0011; 0012; 0026","Glow route and controls","v197Hydration.ts; v197Adjuncts.ts","test_notifications.py; test_sol_living_system.py",PARTIAL,"Complete abuse controls experiments and operations proof",none
Notifications,"app/api/v1/notifications.py","/notifications/*","Notification; NotificationPreference; Reminder","0020","Notifications adjunct","v197Adjuncts.ts","test_notifications.py",PARTIAL,"Complete delivery adapters retry dead-letter and bounce handling","email and push providers"
translations and RTL,"app/api/v1/translations.py; app/i18n","/translations/*","Translation; TranslationFeedback","0010; 0011; 0027","language controls","v197I18n.ts","test_translations.py; v197-language-wordmark.spec.ts",PARTIAL,"Human-review tiers extraction diagnostics and complete long-string/RTL gate","reviewers and optional translation provider"
Billing and entitlements,"app/billing; app/models/billing.py","/billing/*","BillingPlan; Subscription; Entitlement; Refund","0025",none,"API client only","test_billing.py",PARTIAL,"Add V197 plans state checkout portal cancel/refund failure UI and provider proof","configured billing test provider"
Omega,"app/omega","/omega/*","OmegaExperience; Claim; Evidence; Prediction; Review","0007; 0008","Omega dashboard review and why-changed adjuncts","v197Adjuncts.ts","test_omega.py; omega-research.spec.ts",PASS,,none
Neural Simulation and TRIBE,"docs/integration/tribe-g17",none,none,none,none,none,"text_inference_probe.py",MISSING,"Implement disabled/local-research/licensed provider contract and V197 warning surface","commercial licence and gated model access"
backup and restore,"app/services/dr.py; infra/scripts/backup-nur.sh; restore-nur.sh","ops scripts",n/a,n/a,none,none,"test_dr.py; dr-drill.sh",PARTIAL,"Execute exact-SHA realistic database and object restore with measured RPO/RTO","restore environment"
queue recovery,"app/services/project_execution.py; app/api/v1/ops.py","/ops/recover-runs","AMProjectRun","0030","run recovery state","v197Adjuncts.ts","test_am_project_recovery.py",PARTIAL,"Schedule and prove production recovery/dead-letter operation",worker runtime
storage hygiene,"app/services/storage_hygiene.py; app/services/object_storage.py","project file APIs","AMProjectFile","0030","file state","v197Adjuncts.ts","test_storage_hygiene.py",PARTIAL,"Run scheduled reconciliation and retention proof on final SHA",object store
rate limits and quotas,"app/core/rate_limit.py; app/services/ai_budget.py; app/services/project_quota.py","auth cognition upload billing routes","rate and entitlement state","0005; 0025; 0030","honest limit states","v197ApiClient.ts","test_auth.py; test_am_project_quota.py; test_billing.py",PARTIAL,"Prove comprehensive per-owner plan mode route enforcement",Redis and provider usage
security headers,"app/main.py","all API responses",n/a,n/a,none,none,"test_health.py",PARTIAL,"Prove HSTS and production web-edge CSP/header policy",production TLS edge
secret handling,"app/core/config.py; app/core/logging.py; infra/scripts/secret-scan.sh","server-only providers",n/a,n/a,none,none,"npm run secret-scan; test_ai_provider_failures.py",EXTERNAL_BLOCKED,"Verify historical exposed keys rotated","founder/provider key rotation"
accessibility,"apps/web/src/bridge/v197Accessibility.ts; apps/web/src/styles","canonical routes",n/a,n/a,"all canonical controls","v197Accessibility.ts","v197-responsive-accessibility.spec.ts; v197-core-routes-forensic.spec.ts",PARTIAL,"Complete axe/screen-reader audit focus dialogs target-size and stale corpus fixes",assistive-technology verification
mobile,"apps/web; apps/mobile","same API",n/a,n/a,"responsive V197 and PWA","v197Bridge.ts","chromium-mobile specs; track-a-mobile-webkit.spec.ts",PARTIAL,"Pass full mobile Chromium/WebKit and mature native shell secure storage/push",signing and push credentials
performance,"v197PerformanceProfile.ts; v197StarBrain.ts; v197StarField.ts","n/a",n/a,n/a,"one canvas and RAF owner","runtime lifecycle controllers","v197-performance*.spec.ts; v8-cpu-budget.spec.ts",PARTIAL,"Pass CDP heap listener observer and ten-minute soak on current contract",reference hardware
packaging,"Dockerfile; compose.yaml; RUN_NUR.sh; infra/scripts/package-release.sh","booted stack",n/a,n/a,"packaged canonical host","release scripts","boot-smoke.sh",PARTIAL,"Add SBOM release verifier and exact-SHA fresh-package boot",container runtime
CI,".github/workflows/readiness.yml; package.json","n/a",n/a,n/a,none,none,"GitHub Actions PR #8",PARTIAL,"Expand required gates beyond two mocked Chromium specs",CI browser and service images
documentation,"docs; SECURITY_NOTES.md; README.md","n/a",n/a,n/a,none,none,"manual authority verification",PARTIAL,"Refresh stale route Omega control and status documents against final SHA",none
