surface,frontend_entry,client_method,client_path,backend_route,persistence_or_handler,render_owner,contract_status,evidence
Projects,"/projects; /projects/{id}/{tab}","projects; projectTasks; projectRuns; projectFiles; projectEvidence","/projects; /projects/{id}/tasks; /projects/{id}/runs; /projects/{id}/files; /projects/{id}/evidence","/projects; /projects/{project_id}/tasks; /projects/{project_id}/runs; /projects/{project_id}/files; /projects/{project_id}/evidence","projects.py + project_execution","v197Adjuncts","PARTIAL","Insights/settings/share tabs honest placeholder"
Capsules,"/capsules; /capsule/{id}","ownedCapsules; createCapsule; grantCapsule; revokeCapsule; askCapsule","/capsules; /orbits/{orbit}/capsules; /capsules/{id}/grants; /capsules/{id}/revoke; /capsules/{id}/questions","matching capsules.py routes","capsules.py + capsule_service.py","v197Adjuncts","ALIGNED","Owner and recipient boundary paths match"
Research,"/universe/research","researchBriefs; researchJobs; researchSources; researchClaims","/research/briefs; /research/jobs; /research/sources; /research/claims","matching group_research.py and product_surfaces.py routes","group_research.py + product_surfaces.py","v197Hydration Systems-hosted Research card","LOCAL_STAGING_ALIGNED","Owner-scoped local question staging is wired and independently persisted; no separate chamber or live external retrieval is claimed"
Community,"/community; /community/room/{id}","communityRooms; communityMessages; communityPosts; communityComments; reactions","/community/rooms; /community/rooms/{id}/*","matching community.py and community_social.py routes","community.py + community_social.py","v197Adjuncts","PARTIAL","Bounded rooms work; /universe/community collapses and future tabs are disconnected"
Billing,"/billing","billingPlans; billingSubscription; billingCheckout; billingPortal","/billing/plans; /billing/subscription; /billing/checkout; /billing/portal","matching billing routes","billing/service.py + billing/providers.py","v197Adjuncts","EXTERNAL_BLOCKED","Provider-disabled state is explicit"
Notifications,"/notifications","notifications; createReminder; markNotificationRead; patchNotificationPreferences","/notifications; /notifications/reminders; /notifications/{id}/read; /notifications/preferences","matching notifications.py routes","notifications.py + engagement_policy.py","v197Adjuncts","EXTERNAL_BLOCKED","In-app only; external push/email disabled"
Localization,"/settings","patchPreferences; translation catalog client","/profile/preferences; /translations/catalog","/profile/preferences; /translations/*","profile.py + translations.py","v197Adjuncts","PARTIAL","No distinct Localization chamber"
Agent retry P0,"/agents/{workflow_id}","retryAgenticStep","/agentic/workflows/{workflow_id}/steps/{step_id}/retry","/agentic/workflows/{workflow_id}/retry","lifecycle_service.retry_workflow","v197Adjuncts","MISMATCH","Backend public route is authoritative"
Approval EDIT P0,"/agents","decideAgenticApproval","/agentic/approvals/{approval_id}/decide with edited_arguments:null","same route; ApprovalDecisionIn accepts edited_arguments","decisions.py + input_schemas.py","v197Adjuncts","BROWSER_GAP","Backend EDIT HTTP/worker proof exists; browser helper only APPROVE/REJECT"
Talk metadata P0,"/talk","V197StreamClient.talk","/cognition/talk/stream body now includes capability_id and memory_mode","TalkStreamIn and streaming.py accept both fields","cognition.py + streaming.py","v197StreamClient","CLOSED_LOCAL","Requires full-stack proof in B6/C1"
OpenAPI drift P0,"CI","contract gate pending","all client paths","FastAPI OpenAPI","new gate pending","CI","MISSING","Only route-presence assertions currently exist"
