task_id,requirement,initial_status,evidence,files,tests,commit,final_status,blocker,release_candidate_sha
B6,Full-stack gateway vertical test,PASS,Real browser registration and Journal write traversed preview → FastAPI → PostgreSQL/RLS → response; API read and page reload rehydrated the persisted owner line,apps/web/e2e/b6-gateway.spec.ts; local nur_b6 database; migration head 0058,real Chromium Playwright 1 passed; /healthz healthy; /readyz database=ok redis=ok,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
C1,Talk answer-only E2E,EXTERNAL-BLOCKED,Live browser SSE boundary persists the owner turn and rehydrates after reload; Mind/Brain mock-provider vertical tests pass,apps/web/e2e/c1-talk-live-stack.spec.ts; apps/api/app/tests/test_cognition_streaming.py; apps/api/app/tests/test_mind_brain_vertical_slice.py,real Chromium provider-disabled SSE test passed; targeted API cognition/Mind/Brain tests passed,,EXTERNAL-BLOCKED,Live provider catalog returned HTTP 404 and no application model is configured; no fake success claimed,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
C2,Talk workflow proposal E2E,PASS,Mock-provider Mind→Brain action intent compiles a PLAN_READY Agent workflow, persists approval, and runs no tool,apps/api/app/tests/test_mind_brain_vertical_slice.py,real PostgreSQL/RLS fixture; targeted test passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
C3,Approval E2E,PASS,HTTP approval decision transitions step, writes append-only ledger event and outbox intent atomically; APPROVE/EDIT/REJECT and exact payload behavior are proven,apps/api/app/tests/agentic/test_approval_http_e2e.py; apps/api/app/tests/agentic/test_vertical_slices_db.py; apps/web/src/v197/agentic-contract.test.ts,real PostgreSQL/RLS approval tests; frontend Agent contract tests green,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
C4,Beat/worker E2E,PASS,Real Redis carries ID-only work to a separate Celery worker; owner-scoped execution reaches SUCCEEDED and redelivery yields one durable effect,apps/api/app/tests/agentic/test_real_broker_e2e_db.py; apps/api/app/tests/agentic/test_transport_e2e_db.py,real Redis; real Celery subprocess; 3 broker tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
C5,Verified-result UI E2E,PASS,Real browser-created auto-run workflow completes through beat/worker and V197 Agent detail rehydrates SUCCEEDED, STEP_EXECUTED, STEP_VERIFIED, and success criterion evidence,apps/web/e2e/c5-agent-verified-result.spec.ts; apps/api/app/tests/agentic/test_vertical_slices_db.py,real Chromium; live FastAPI/PostgreSQL/RLS/Redis/Celery worker+beat; browser test passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
D1,Audit CognitiveTaskPacket,PASS,Packet acceptance test enumerates identity/self/world/evidence/beliefs/hypotheses families and manifest lineage,apps/api/app/brain/schemas.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
D2,User/Self/World model composition,PASS,CognitiveTaskPacket composes frozen identity, self capabilities, and scoped ContextManifest from existing stores,apps/api/app/brain/schemas.py; apps/api/app/mind/user_model.py; apps/api/app/mind/self_model.py; apps/api/app/tests/test_mind_brain_vertical_slice.py,184 D–G tests plus 8 contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
D3,Belief and counterevidence composition,PASS,Owner-scoped belief support, contest, correction, retract, restore, and staleness behavior is covered,apps/api/app/mind/beliefs.py; apps/api/app/tests/test_beliefs_attention_phase3.py; apps/api/app/tests/test_omega.py,184 D–G tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
D4,Goals and intention arbitration,PASS,Explicit owner action intent produces a PLAN_READY workflow while ordinary Talk produces no workflow,apps/api/app/tests/test_mind_brain_vertical_slice.py; apps/api/app/brain/router.py,184 D–G tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
D5,Context manifest,PASS,Included/excluded source lineage and token budget accounting are typed and persisted through hydration,apps/api/app/brain/schemas.py; apps/api/app/mind/capabilities/hydrator.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
D6,Cross-owner and token-budget tests,PASS,Owner isolation, RLS denial, and bounded hydration/learning budgets are covered in the real database suites,apps/api/app/tests/test_hardness_db_rls.py; apps/api/app/tests/test_omega.py; apps/api/app/tests/test_capability_runtime_e2e.py,184 D–G tests passed on real PostgreSQL/RLS fixtures,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E1,Version CognitiveTaskPacketV2/CognitiveResultV2,PASS,Lossless v2 contracts preserve visible fields and add explicit contract versions,apps/api/app/brain/schemas.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E2,Harden Brain router,PASS,RouteDecision records task class, stakes, evidence-aware profile, reason, estimated tokens, and budget downgrade,apps/api/app/brain/router.py; apps/api/app/tests/test_addendum_dg_contracts.py,184 D–G tests plus 8 contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E3,Typed Planner,PASS,TypedPlanner emits WorkflowProposalV2 only with bounded PlanBudget,apps/api/app/brain/planner.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E4,Bounded Simulator,PASS,BoundedSimulator compares step width and estimated cost against PlanBudget,apps/api/app/brain/planner.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E5,Separate deterministic validator from independent critic,PASS,DeterministicEvidenceValidator remains intact and IndependentCritic is a separate non-mutating role,apps/api/app/brain/critic.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E6,Research Brain,PASS,Bounded ResearchBrain validates allowed-domain citations and detects contradictory supplied sources without fetching or inventing sources,apps/api/app/brain/research.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,External retrieval/connectors remain outside this local proof,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E7,Specialist workers,PASS,SpecialistWorker enforces capability scope and call/token budgets,apps/api/app/brain/specialists.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
E8,Evaluation corpus,PASS,Real offline evaluator executes planner, simulator, critic, router, research, specialist, and memory-learning safety components across development, held-out, and shadow splits; promotion requires exact corpus version and full held-out/shadow pass rates,apps/api/app/brain/evaluation.py; apps/api/app/tests/test_brain_semantic_addendum.py,7 semantic tests passed including real default evaluation runner with held-out and shadow promotion,a1608ee,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
F1,Hydration tier parity,PASS,Semantic hydration loads approved memory, beliefs, user-model, research, and semantic context families with owner-scoped parity and wires them into the cognitive loop and task packet,apps/api/app/mind/capabilities/hydrator.py; apps/api/app/mind/context.py; apps/api/app/mind/cognitive_loop.py; apps/api/app/tests/test_f1_f4_semantics.py,3 F1/F2/F4 semantic tests plus capability regression suite passed,a1608ee,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
F2,Worker DAG limits,PASS,DAGExecutionLimits validates node count, depth, fan-out, total cost, and deadline before compile_plan execution,apps/api/app/agentic/limits.py; apps/api/app/agentic/compiler.py; apps/api/app/tests/test_f1_f4_semantics.py,3 F1/F2/F4 semantic tests passed,a1608ee,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
F3,Safe event parity,PASS,Browser-safe v197 capability reducer allowlists event vocabulary and strips raw internal payloads with dedicated Vitest coverage,apps/web/src/bridge/v197CapabilityReducer.ts; apps/web/src/bridge/v197CapabilityReducer.test.ts,2 reducer tests plus web unit suite passed,a1608ee,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
F4,WorkflowProposalV2,PASS,WorkerDispatcher constructs WorkflowProposalV2 directly and preserves the versioned Mind-to-Agency proposal contract,apps/api/app/brain/schemas.py; apps/api/app/mind/capabilities/dispatcher.py; apps/api/app/tests/test_f1_f4_semantics.py,3 F1/F2/F4 semantic tests plus capability regression suite passed,a1608ee,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
F5,Plan-from-conversation production proof,PARTIAL,Backend and dedicated Chromium browser proofs cover preview-without-write, explicit owner save, workflow proposal, approval, exactly one durable Plan, reload persistence, and duplicate-save idempotency,apps/api/app/tests/test_mind_brain_vertical_slice.py; apps/api/app/tests/agentic/test_vertical_slices_db.py,184 D–G tests plus real browser Agent proof,,PASS-CANDIDATE,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
G1,Prediction and outcome reconciliation,PASS,Omega tests prove outcomes contradict predictions and weaken claims,apps/api/app/tests/test_omega.py; apps/api/app/cognition/provenance.py,184 D–G tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
G2,Belief change candidate,PASS,Belief support, contest, correction, and model-generated claim review paths are covered,apps/api/app/tests/test_beliefs_attention_phase3.py; apps/api/app/tests/test_omega.py,184 D–G tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
G3,WhyChanged linkage,PASS,WhyChanged records typed change class, evidence edges, rollback target, and superseded chain,apps/api/app/mind/why_changed.py; apps/api/app/tests/test_why_changed_phase2.py; apps/api/app/tests/test_omega.py,184 D–G tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
G4,Memory candidate effect proof,PASS,Memory candidate and owner correction/effect linkage are covered by cognition and learning suites,apps/api/app/cognition/memory_candidate_service.py; apps/api/app/tests/test_hardness_e2e.py; apps/api/app/tests/test_cognition.py,184 D–G tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
G5,Hardness signal ingestion,PASS,Correction, retry idempotency, recurrence, RLS, and canonical production-chain hardness signals are proven,apps/api/app/tests/test_hardness_db_rls.py; apps/api/app/tests/test_hardness_e2e.py,184 D–G tests passed,,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
G6,Held-out and shadow evaluation,PASS,Default evaluation runner produces auditable held-out and shadow reports from real bounded semantic components; EvaluationGate blocks failures and promotes only exact-version full-rate evidence,apps/api/app/brain/evaluation.py; apps/api/app/tests/test_brain_semantic_addendum.py,7 semantic tests passed including real default evaluation runner with held-out and shadow promotion,a1608ee,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-TODAY,"Phase-H owner route: Today; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PARTIAL,"Today route, full-interface, and Track-A entry geometry are green on the candidate; the independent complete route matrix remains pending",apps/web/e2e/surface-navigation.spec.ts; apps/web/e2e/track-a-sellable.spec.ts,"Core route, full-interface, and Track-A evidence green; complete independent matrix remains",,PASS-CANDIDATE,Independent complete route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-TALK,"Phase-H owner route: Talk; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PARTIAL,Talk persistence, reload, disabled-provider honesty, and semantic stream UI pass; live provider remains external-blocked,apps/web/e2e/talk.spec.ts; apps/web/e2e/talk-persistence.spec.ts; apps/web/e2e/c1-talk-live-stack.spec.ts,focused Talk browser tests passed; C1 provider-disabled path passed,,PASS-CANDIDATE,Live provider remains external-blocked; independent complete route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-JOURNAL,"Phase-H owner route: Journal; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Journal save and reload hydration pass through the canonical control matrix,apps/web/e2e/v197-control-matrix.spec.ts; apps/web/e2e/talk-persistence.spec.ts,focused browser tests green,,PASS-CANDIDATE,Independent full route matrix still pending,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-PLAN,"Phase-H owner route: Plan; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PARTIAL,"Plan controls, outcome gating, and the Track-A owner mutation loop pass; the independent complete route matrix remains pending",apps/web/e2e/talk.spec.ts; apps/web/e2e/v197-control-matrix.spec.ts; apps/web/e2e/track-a-sellable.spec.ts,"F5, Track-A, control, and core route browser proofs green",,PASS-CANDIDATE,Independent complete route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-SYSTEMS,"Phase-H owner route: Systems; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PARTIAL,"Systems canonical navigation, Track-A geometry, and full-interface setup pass on the candidate; the independent complete route matrix remains pending",apps/web/e2e/surface-navigation.spec.ts; apps/web/e2e/v197-control-matrix.spec.ts; apps/web/e2e/track-a-sellable.spec.ts,"13 focused core/control/responsive/Universe-lens tests passed; full-interface and Track-A green",,PASS-CANDIDATE,Independent complete route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-ORBIT,"Phase-H owner route: Orbit; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Owner fixture hardening now proves Orbit mount, shell, controls, list rows, reload, mobile, accessibility, and evidence surfaces,apps/web/e2e/orbit-surface.spec.ts; docs/completion/MANUS_J7_J8_BROWSER_MATRIX.md,Orbit route proof green after stable owner fixture hardening,a1608ee,PASS-CANDIDATE,Independent full route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-MAP,"Phase-H owner route: Map; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Owner fixture hardening now proves Map mount, shell, modes, server regions, candidate separation, confirmed-edge explanation, reload, mobile, and accessibility,apps/web/e2e/map-surface.spec.ts; docs/completion/MANUS_J7_J8_BROWSER_MATRIX.md,Map route proof green after confirmed owner edge fixture hardening,a1608ee,PASS-CANDIDATE,Independent full route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-TIMELINE,"Phase-H owner route: Timeline; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,All executed Timeline assertions passed after self-provisioning the owner fixture,apps/web/e2e/timeline-surface.spec.ts,core route suite Timeline portion green,,PASS-CANDIDATE,Independent complete route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-INSIGHTS,"Phase-H owner route: Insights; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PARTIAL,"Insights candidate and Omega code paths exist, dedicated candidate routing is ported, and the current full-interface route is green; broad seeded SOL/review-queue proof remains partial",apps/web/src/bridge/v197Adjuncts.ts; apps/web/e2e/v197-adjuncts.spec.ts; apps/web/e2e/omega-research.spec.ts,"Dedicated candidate/full-interface route green; broad seeded sweep incomplete",,PARTIAL,Stabilize fresh route fixture and run dedicated proof,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-AGENTS,"Phase-H owner route: Agents; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Owner policy/approval controls and real C5 worker-verified-result browser proof pass,apps/web/e2e/agentic-owner-ui.spec.ts; apps/web/e2e/c5-agent-verified-result.spec.ts,focused Agent UI and real worker proof green,,PASS-CANDIDATE,Independent empty/error/mobile route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-MEMORY,"Phase-H owner route: Memory; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Owner Memory read/write route and Teach NUR consent gating pass,apps/web/e2e/owner-product-surfaces.spec.ts,focused owner-product tests green,,PASS-CANDIDATE,Fresh independent route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-PROJECTS,"Phase-H owner route: Projects; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Project tabs, file picker, deliverable upload/execution/download controls pass under focused browser proofs,apps/web/e2e/project-deliverables.spec.ts; apps/web/e2e/v197-control-matrix.spec.ts,focused Project tests green,,PASS-CANDIDATE,Live full-stack upload/reload proof remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-CAPSULES,"Phase-H owner route: Capsules; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Owner capsule create, grant, revoke, active/revoked reload, and recipient lifecycle proofs pass after documented recipient fixture provisioning,apps/web/e2e/owner-product-surfaces.spec.ts; apps/web/e2e/capsule.spec.ts,Focused and real two-account Capsule proofs green,a1608ee,PASS-CANDIDATE,Independent full route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-RESEARCH,"Phase-H owner route: Research; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PARTIAL,Bounded Research Brain and Omega research route code exist, but the broad live seeded surface test is not green,apps/api/app/brain/research.py; apps/web/e2e/omega-research.spec.ts; apps/web/e2e/sol-live-new-surfaces.spec.ts,local research unit/contract evidence exists; broad browser sweep incomplete,,PARTIAL,Stabilize fresh research fixtures,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-COMMUNITY,"Phase-H owner route: Community; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Community host, portal, room member grant, durable message, reload, Glow evidence, and Council flow pass with the documented owner/recipient fixture,apps/web/e2e/community-group-nur.spec.ts; apps/web/e2e/v197-adjuncts.spec.ts,Real-stack Community lifecycle proof green after route and recipient fixture hardening,a1608ee,PASS-CANDIDATE,Independent full route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-BILLING,"Phase-H owner route: Billing; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Owner billing route exposes safe HTTPS checkout fallback when popup is blocked,apps/web/e2e/owner-product-surfaces.spec.ts,focused Billing browser test green,,PASS-CANDIDATE,Live billing provider proof remains external,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-NOTIFICATIONS,"Phase-H owner route: Notifications; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Independent Notifications route proof covers reachability, owner API load, preference persistence, reload state, empty/error rendering, and accessible controls,apps/web/src/bridge/v197Adjuncts.ts; apps/web/e2e/v197-adjuncts.spec.ts,Notifications route and reload persistence proof green,a1608ee,PASS-CANDIDATE,Independent full route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
H-LOCALIZATION,"Phase-H owner route: Localization; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",PASS-CANDIDATE,Independent Localization route proof covers route reachability, language persistence, reload hydration, and accessible settings controls,apps/web/src/bridge/v197Adjuncts.ts; apps/web/e2e/v197-adjuncts.spec.ts,Localization route and reload persistence proof green,a1608ee,PASS-CANDIDATE,Independent full route matrix remains,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
I1,RLS matrix,PASS,Real PostgreSQL/RLS matrix passed; every tested private boundary and migration-role invariant stayed owner-scoped.,apps/api/app/tests/test_rls.py; apps/api/app/tests/agentic/test_ops_boundary_db.py; apps/api/app/tests/agentic/test_migration_role_rls_db.py,test_rls.py: 6 passed; Phase-I security suite: 49 passed,d181dbb9e083db78ab6ef8cdb4c2be681271b4bb,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
I2,CSRF and origin matrix,PASS,Agent mutation matrix enforces CSRF and trusted-origin headers on HTTP approval and workflow mutations.,apps/api/app/tests/agentic/test_approval_http_e2e.py; apps/api/app/api/deps.py,"Phase-I security suite: 49 passed, including CSRF/origin refusal cases",d181dbb9e083db78ab6ef8cdb4c2be681271b4bb,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
I3,Agent replay attacks,PASS,"Digest, plan-version, call-version, approval binding, duplicate-delivery, and cross-owner replay fences passed on real PostgreSQL/RLS state.",apps/api/app/tests/agentic/test_approval_http_e2e.py; apps/api/app/tests/agentic/test_decision_http_validation_db.py; apps/api/app/tests/agentic/test_ops_boundary_db.py,Phase-I security suite: 49 passed,d181dbb9e083db78ab6ef8cdb4c2be681271b4bb,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
I4,Prompt and tool injection corpus,PASS,Eight hostile external-content prompts remain traceable descriptions/evidence and cannot remove typed owner approval or alter typed tool arguments.,apps/api/app/tests/test_prompt_tool_injection_corpus.py; apps/api/app/brain/planner.py; apps/api/app/brain/schemas.py,Prompt/tool corpus plus Addendum D–G contracts: 16 passed,d181dbb9e083db78ab6ef8cdb4c2be681271b4bb,PASS,No live provider claim; corpus is deterministic local boundary evidence,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
I5,GitHub Actions hardening,PASS,All workflow actions are pinned to immutable commit SHAs and workflow token permissions are restricted to contents: read.,.github/workflows/readiness.yml,Immutable-action grep gate and permission audit passed,d181dbb9e083db78ab6ef8cdb4c2be681271b4bb,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
I6,Main branch ruleset,HOLD-DEPENDENCY,"Required PR, exact-check, no-force-push, and no-deletion rules are documented; canonical repository audit found HTTP 404 branch protection and an empty ruleset list.",docs/completion/MANUS_MAIN_BRANCH_RULESET.md,gh API audit: branch protection 404; rulesets [],d181dbb9e083db78ab6ef8cdb4c2be681271b4bb,HOLD-DEPENDENCY,Applying repository settings would change canonical configuration and requires repository-administrator action outside the completion worktree,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
I7,Dependency and SBOM,PASS,Deterministic CycloneDX inventories generated from package-lock.json and the locked Python requirements; JavaScript 133 components and Python 63 components with recorded SHA-256 digests.,infra/scripts/generate_sbom.py; docs/completion/sbom/MANUS_SBOM_NODE_CYCLONEDX.json; docs/completion/sbom/MANUS_SBOM_PYTHON_CYCLONEDX.json,SBOM generator completed; Ruff clean; node SHA-256 50404507c97b267de9b110581f463b2c80db16a9229141e85c59ba03bd3c7e35; Python SHA-256 ae4f9ffd8ed1cfdbc52d2f08b6f9010010fe3ce33bbfb175839d888656cc4bd8,d181dbb9e083db78ab6ef8cdb4c2be681271b4bb,PASS,None,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J1,Cold boot,PASS-CANDIDATE,Readiness investigation separated Docker absence from configuration: boot-smoke passes when pointed at the working nur_b6 PostgreSQL and Redis values; official Docker cold boot remains unavailable.,RUN_NUR.sh; infra/scripts/boot-smoke.sh; docs/completion/MANUS_J7_J8_BROWSER_MATRIX.md,Explicit-config boot-smoke returned /readyz 200 /healthz 200 /metrics 200 and SIGTERM rc=143,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc,PASS-CANDIDATE,Docker is not installed in this sandbox; rerun official Docker cold boot in release infrastructure,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
J2,Backup,PASS,Isolated disaster-recovery backup manifest created from real nur_b6 at Alembic revision 0058_agentic_insights_engine.,infra/scripts/dr-drill.sh; docs/completion/MANUS_PHASE_J_RUNTIME_EVIDENCE.md,DR DRILL PASS; manifest revision 0058_agentic_insights_engine; object_bytes 4122,375e0f8ebeb9adceabd48840390aed407e1b6fe8,PASS,Local isolated proof only; not production backup-service availability,9cc7afb9dd6b8f20d2c92fb98999a1f23f9c56cc
