ID,PHASE,TASK,REQUIREMENT,SOURCE_SECTION,CURRENT_IMPLEMENTATION,CURRENT_TEST,CURRENT_EVIDENCE,EXACT_SHA,STATUS,APPLICABLE_TO_CURRENT_RELEASE,SUPERSESSION,BLOCKER_TYPE,NEXT_ACTION,CATEGORY
B6,B,Full-stack gateway vertical test,Full-stack gateway vertical test,MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/b6-gateway.spec.ts; local nur_b6 database; migration head 0058,real Chromium Playwright 1 passed; /healthz healthy; /readyz database=ok redis=ok,Real browser registration and Journal write traversed preview → FastAPI → PostgreSQL/RLS → response; API read and page reload rehydrated the persisted owner line,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
C1,C,Talk answer-only E2E,Talk answer-only E2E,MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/c1-talk-live-stack.spec.ts; apps/api/app/tests/test_cognition_streaming.py; apps/api/app/tests/test_mind_brain_vertical_slice.py,real Chromium provider-disabled SSE test passed; targeted API cognition/Mind/Brain tests passed,Live browser SSE boundary persists the owner turn and rehydrates after reload; Mind/Brain mock-provider vertical tests pass,d012c5429bd035deb8a89b7fe19deb49c111356c,EXTERNAL_BLOCKED,YES,,EXTERNAL,Live provider catalog returned HTTP 404 and no application model is configured; no fake success claimed,IMPLEMENTATION
C2,C,Talk workflow proposal E2E,Talk workflow proposal E2E,MANUS_COMPLETION_LEDGER.csv,persists approval,and runs no tool,Mock-provider Mind→Brain action intent compiles a PLAN_READY Agent workflow,PASS,NOT_PROVEN,YES,,not yet reconciled,,IMPLEMENTATION
C3,C,Approval E2E,Approval E2E,MANUS_COMPLETION_LEDGER.csv,writes append-only ledger event and outbox intent atomically; APPROVE/EDIT/REJECT and exact payload behavior are proven,apps/api/app/tests/agentic/test_approval_http_e2e.py; apps/api/app/tests/agentic/test_vertical_slices_db.py; apps/web/src/v197/agentic-contract.test.ts,HTTP approval decision transitions step,None,PASS-CANDIDATE,YES,,NONE,PASS,IMPLEMENTATION
C4,C,Beat/worker E2E,Beat/worker E2E,MANUS_COMPLETION_LEDGER.csv,apps/api/app/tests/agentic/test_real_broker_e2e_db.py; apps/api/app/tests/agentic/test_transport_e2e_db.py,real Redis; real Celery subprocess; 3 broker tests passed,Real Redis carries ID-only work to a separate Celery worker; owner-scoped execution reaches SUCCEEDED and redelivery yields one durable effect,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
C5,C,Verified-result UI E2E,Verified-result UI E2E,MANUS_COMPLETION_LEDGER.csv,STEP_EXECUTED,STEP_VERIFIED,Real browser-created auto-run workflow completes through beat/worker and V197 Agent detail rehydrates SUCCEEDED,and success criterion evidence,NOT_PROVEN,YES,,real Chromium; live FastAPI/PostgreSQL/RLS/Redis/Celery worker+beat; browser test passed,real Chromium; live FastAPI/PostgreSQL/RLS/Redis/Celery worker+beat; browser test passed,IMPLEMENTATION
D1,D,Audit CognitiveTaskPacket,Audit CognitiveTaskPacket,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/schemas.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,Packet acceptance test enumerates identity/self/world/evidence/beliefs/hypotheses families and manifest lineage,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
D2,D,User/Self/World model composition,User/Self/World model composition,MANUS_COMPLETION_LEDGER.csv,self capabilities,and scoped ContextManifest from existing stores,CognitiveTaskPacket composes frozen identity,PASS,NOT_PROVEN,YES,,not yet reconciled,,IMPLEMENTATION
D3,D,Belief and counterevidence composition,Belief and counterevidence composition,MANUS_COMPLETION_LEDGER.csv,contest,correction,Owner-scoped belief support,apps/api/app/mind/beliefs.py; apps/api/app/tests/test_beliefs_attention_phase3.py; apps/api/app/tests/test_omega.py,NOT_PROVEN,YES,,and staleness behavior is covered,and staleness behavior is covered,IMPLEMENTATION
D4,D,Goals and intention arbitration,Goals and intention arbitration,MANUS_COMPLETION_LEDGER.csv,apps/api/app/tests/test_mind_brain_vertical_slice.py; apps/api/app/brain/router.py,184 D–G tests passed,Explicit owner action intent produces a PLAN_READY workflow while ordinary Talk produces no workflow,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
D5,D,Context manifest,Context manifest,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/schemas.py; apps/api/app/mind/capabilities/hydrator.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,Included/excluded source lineage and token budget accounting are typed and persisted through hydration,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
D6,D,Cross-owner and token-budget tests,Cross-owner and token-budget tests,MANUS_COMPLETION_LEDGER.csv,RLS denial,and bounded hydration/learning budgets are covered in the real database suites,Owner isolation,PASS,NOT_PROVEN,YES,,not yet reconciled,,IMPLEMENTATION
E1,E,Version CognitiveTaskPacketV2/CognitiveResultV2,Version CognitiveTaskPacketV2/CognitiveResultV2,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/schemas.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,Lossless v2 contracts preserve visible fields and add explicit contract versions,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
E2,E,Harden Brain router,Harden Brain router,MANUS_COMPLETION_LEDGER.csv,stakes,evidence-aware profile,RouteDecision records task class,apps/api/app/brain/router.py; apps/api/app/tests/test_addendum_dg_contracts.py,NOT_PROVEN,YES,,and budget downgrade,and budget downgrade,IMPLEMENTATION
E3,E,Typed Planner,Typed Planner,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/planner.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,TypedPlanner emits WorkflowProposalV2 only with bounded PlanBudget,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
E4,E,Bounded Simulator,Bounded Simulator,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/planner.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,BoundedSimulator compares step width and estimated cost against PlanBudget,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
E5,E,Separate deterministic validator from independent critic,Separate deterministic validator from independent critic,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/critic.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,DeterministicEvidenceValidator remains intact and IndependentCritic is a separate non-mutating role,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
E6,E,Research Brain,Research Brain,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/research.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,Bounded ResearchBrain validates allowed-domain citations and detects contradictory supplied sources without fetching or inventing sources,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,External retrieval/connectors remain outside this local proof,IMPLEMENTATION
E7,E,Specialist workers,Specialist workers,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/specialists.py; apps/api/app/tests/test_addendum_dg_contracts.py,8 Addendum D–G contract tests passed,SpecialistWorker enforces capability scope and call/token budgets,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
E8,E,Evaluation corpus,Evaluation corpus,MANUS_COMPLETION_LEDGER.csv,simulator,critic,Real offline evaluator executes planner,and memory-learning safety components across development,NOT_PROVEN,YES,,specialist,specialist,IMPLEMENTATION
F1,F,Hydration tier parity,Hydration tier parity,MANUS_COMPLETION_LEDGER.csv,beliefs,user-model,Semantic hydration loads approved memory,3 F1/F2/F4 semantic tests plus capability regression suite passed,NOT_PROVEN,YES,,apps/api/app/mind/capabilities/hydrator.py; apps/api/app/mind/context.py; apps/api/app/mind/cognitive_loop.py; apps/api/app/tests/test_f1_f4_semantics.py,apps/api/app/mind/capabilities/hydrator.py; apps/api/app/mind/context.py; apps/api/app/mind/cognitive_loop.py; apps/api/app/tests/test_f1_f4_semantics.py,IMPLEMENTATION
F2,F,Worker DAG limits,Worker DAG limits,MANUS_COMPLETION_LEDGER.csv,depth,fan-out,DAGExecutionLimits validates node count,3 F1/F2/F4 semantic tests passed,NOT_PROVEN,YES,,apps/api/app/agentic/limits.py; apps/api/app/agentic/compiler.py; apps/api/app/tests/test_f1_f4_semantics.py,apps/api/app/agentic/limits.py; apps/api/app/agentic/compiler.py; apps/api/app/tests/test_f1_f4_semantics.py,IMPLEMENTATION
F3,F,Safe event parity,Safe event parity,MANUS_COMPLETION_LEDGER.csv,apps/web/src/bridge/v197CapabilityReducer.ts; apps/web/src/bridge/v197CapabilityReducer.test.ts,2 reducer tests plus web unit suite passed,Browser-safe v197 capability reducer allowlists event vocabulary and strips raw internal payloads with dedicated Vitest coverage,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
F4,F,WorkflowProposalV2,WorkflowProposalV2,MANUS_COMPLETION_LEDGER.csv,apps/api/app/brain/schemas.py; apps/api/app/mind/capabilities/dispatcher.py; apps/api/app/tests/test_f1_f4_semantics.py,3 F1/F2/F4 semantic tests plus capability regression suite passed,WorkerDispatcher constructs WorkflowProposalV2 directly and preserves the versioned Mind-to-Agency proposal contract,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,IMPLEMENTATION
F5,F,Plan-from-conversation production proof,Plan-from-conversation production proof,MANUS_COMPLETION_LEDGER.csv,explicit owner save,workflow proposal,Backend and dedicated Chromium browser proofs cover preview-without-write,and duplicate-save idempotency,NOT_PROVEN,YES,,reload persistence,reload persistence,IMPLEMENTATION
H-AGENTS,H,"Phase-H owner route: Agents; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Agents; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/agentic-owner-ui.spec.ts; apps/web/e2e/c5-agent-verified-result.spec.ts,focused Agent UI and real worker proof green,Owner policy/approval controls and real C5 worker-verified-result browser proof pass,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Independent empty/error/mobile route matrix remains,IMPLEMENTATION
H-BILLING,H,"Phase-H owner route: Billing; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Billing; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/owner-product-surfaces.spec.ts,focused Billing browser test green,Owner billing route exposes safe HTTPS checkout fallback when popup is blocked,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Live billing provider proof remains external,IMPLEMENTATION
H-CAPSULES,H,"Phase-H owner route: Capsules; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Capsules; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,grant,revoke,Owner capsule create,Focused and real two-account Capsule proofs green,NOT_PROVEN,YES,,apps/web/e2e/owner-product-surfaces.spec.ts; apps/web/e2e/capsule.spec.ts,apps/web/e2e/owner-product-surfaces.spec.ts; apps/web/e2e/capsule.spec.ts,IMPLEMENTATION
H-COMMUNITY,H,"Phase-H owner route: Community; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Community; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,portal,room member grant,Community host,and Council flow pass with the documented owner/recipient fixture,NOT_PROVEN,YES,,Glow evidence,Glow evidence,IMPLEMENTATION
H-INSIGHTS,H,"Phase-H owner route: Insights; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Insights; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/src/bridge/v197Adjuncts.ts; apps/web/e2e/v197-adjuncts.spec.ts; apps/web/e2e/omega-research.spec.ts,Dedicated candidate/full-interface route green; broad seeded sweep incomplete,"Insights candidate and Omega code paths exist, dedicated candidate routing is ported, and the current full-interface route is green; broad seeded SOL/review-queue proof remains partial",d012c5429bd035deb8a89b7fe19deb49c111356c,PARTIAL,YES,,Stabilize fresh route fixture and run dedicated proof,Stabilize fresh route fixture and run dedicated proof,IMPLEMENTATION
H-JOURNAL,H,"Phase-H owner route: Journal; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Journal; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/v197-control-matrix.spec.ts; apps/web/e2e/talk-persistence.spec.ts,focused browser tests green,Journal save and reload hydration pass through the canonical control matrix,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Independent full route matrix still pending,IMPLEMENTATION
H-LOCALIZATION,H,"Phase-H owner route: Localization; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Localization; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,language persistence,reload hydration,Independent Localization route proof covers route reachability,a1608ee,NOT_PROVEN,YES,,Localization route and reload persistence proof green,Localization route and reload persistence proof green,IMPLEMENTATION
H-MAP,H,"Phase-H owner route: Map; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Map; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,shell,modes,Owner fixture hardening now proves Map mount,reload,NOT_PROVEN,YES,,confirmed-edge explanation,confirmed-edge explanation,IMPLEMENTATION
H-MEMORY,H,"Phase-H owner route: Memory; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Memory; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/owner-product-surfaces.spec.ts,focused owner-product tests green,Owner Memory read/write route and Teach NUR consent gating pass,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Fresh independent route matrix remains,IMPLEMENTATION
H-NOTIFICATIONS,H,"Phase-H owner route: Notifications; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Notifications; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,owner API load,preference persistence,Independent Notifications route proof covers reachability,apps/web/src/bridge/v197Adjuncts.ts; apps/web/e2e/v197-adjuncts.spec.ts,NOT_PROVEN,YES,,and accessible controls,and accessible controls,IMPLEMENTATION
H-ORBIT,H,"Phase-H owner route: Orbit; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Orbit; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,shell,controls,Owner fixture hardening now proves Orbit mount,accessibility,NOT_PROVEN,YES,,mobile,mobile,IMPLEMENTATION
H-PLAN,H,"Phase-H owner route: Plan; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Plan; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/talk.spec.ts; apps/web/e2e/v197-control-matrix.spec.ts; apps/web/e2e/track-a-sellable.spec.ts,"F5, Track-A, control, and core route browser proofs green","Plan controls, outcome gating, and the Track-A owner mutation loop pass; the independent complete route matrix remains pending",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Independent complete route matrix remains,IMPLEMENTATION
H-PROJECTS,H,"Phase-H owner route: Projects; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Projects; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,file picker,deliverable upload/execution/download controls pass under focused browser proofs,Project tabs,PASS-CANDIDATE,NOT_PROVEN,YES,,not yet reconciled,,IMPLEMENTATION
H-RESEARCH,H,"Phase-H owner route: Research; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Research; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,but the broad live seeded surface test is not green,apps/api/app/brain/research.py; apps/web/e2e/omega-research.spec.ts; apps/web/e2e/sol-live-new-surfaces.spec.ts,Bounded Research Brain and Omega research route code exist,Stabilize fresh research fixtures,PARTIAL,YES,,PARTIAL,PARTIAL,IMPLEMENTATION
H-SYSTEMS,H,"Phase-H owner route: Systems; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Systems; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/surface-navigation.spec.ts; apps/web/e2e/v197-control-matrix.spec.ts; apps/web/e2e/track-a-sellable.spec.ts,13 focused core/control/responsive/Universe-lens tests passed; full-interface and Track-A green,"Systems canonical navigation, Track-A geometry, and full-interface setup pass on the candidate; the independent complete route matrix remains pending",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Independent complete route matrix remains,IMPLEMENTATION
H-TALK,H,"Phase-H owner route: Talk; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Talk; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,reload,disabled-provider honesty,Talk persistence,and semantic stream UI pass; live provider remains external-blocked,NOT_PROVEN,YES,,focused Talk browser tests passed; C1 provider-disabled path passed,focused Talk browser tests passed; C1 provider-disabled path passed,IMPLEMENTATION
H-TIMELINE,H,"Phase-H owner route: Timeline; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Timeline; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/timeline-surface.spec.ts,core route suite Timeline portion green,All executed Timeline assertions passed after self-provisioning the owner fixture,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Independent complete route matrix remains,IMPLEMENTATION
H-TODAY,H,"Phase-H owner route: Today; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E","Phase-H owner route: Today; owner API, durable state, RLS, V197 render, mutation, reload, empty/error state, mobile, accessibility, E2E",MANUS_COMPLETION_LEDGER.csv,apps/web/e2e/surface-navigation.spec.ts; apps/web/e2e/track-a-sellable.spec.ts,"Core route, full-interface, and Track-A evidence green; complete independent matrix remains","Today route, full-interface, and Track-A entry geometry are green on the candidate; the independent complete route matrix remains pending",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,Independent complete route matrix remains,IMPLEMENTATION
I1,I,RLS matrix,RLS matrix,MANUS_COMPLETION_LEDGER.csv,apps/api/app/tests/test_rls.py; apps/api/app/tests/agentic/test_ops_boundary_db.py; apps/api/app/tests/agentic/test_migration_role_rls_db.py,test_rls.py: 6 passed; Phase-I security suite: 49 passed,Real PostgreSQL/RLS matrix passed; every tested private boundary and migration-role invariant stayed owner-scoped.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,EVIDENCE
I2,I,CSRF and origin matrix,CSRF and origin matrix,MANUS_COMPLETION_LEDGER.csv,apps/api/app/tests/agentic/test_approval_http_e2e.py; apps/api/app/api/deps.py,"Phase-I security suite: 49 passed, including CSRF/origin refusal cases",Agent mutation matrix enforces CSRF and trusted-origin headers on HTTP approval and workflow mutations.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,EVIDENCE
I3,I,Agent replay attacks,Agent replay attacks,MANUS_COMPLETION_LEDGER.csv,apps/api/app/tests/agentic/test_approval_http_e2e.py; apps/api/app/tests/agentic/test_decision_http_validation_db.py; apps/api/app/tests/agentic/test_ops_boundary_db.py,Phase-I security suite: 49 passed,"Digest, plan-version, call-version, approval binding, duplicate-delivery, and cross-owner replay fences passed on real PostgreSQL/RLS state.",d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,EVIDENCE
I4,I,Prompt and tool injection corpus,Prompt and tool injection corpus,MANUS_COMPLETION_LEDGER.csv,apps/api/app/tests/test_prompt_tool_injection_corpus.py; apps/api/app/brain/planner.py; apps/api/app/brain/schemas.py,Prompt/tool corpus plus Addendum D–G contracts: 16 passed,Eight hostile external-content prompts remain traceable descriptions/evidence and cannot remove typed owner approval or alter typed tool arguments.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,No live provider claim; corpus is deterministic local boundary evidence,EVIDENCE
I5,I,GitHub Actions hardening,GitHub Actions hardening,MANUS_COMPLETION_LEDGER.csv,.github/workflows/readiness.yml,Immutable-action grep gate and permission audit passed,All workflow actions are pinned to immutable commit SHAs and workflow token permissions are restricted to contents: read.,d012c5429bd035deb8a89b7fe19deb49c111356c,PASS-CANDIDATE,YES,,NONE,None,EVIDENCE
I6,I,Main branch ruleset,Main branch ruleset,MANUS_COMPLETION_LEDGER.csv,docs/completion/MANUS_MAIN_BRANCH_RULESET.md,gh API audit: branch protection 404; rulesets [],"Required PR, exact-check, no-force-push, and no-deletion rules are documented; canonical repository audit found HTTP 404 branch protection and an empty ruleset list.",d012c5429bd035deb8a89b7fe19deb49c111356c,NOT_PROVEN,YES,,Applying repository settings would change canonical configuration and requires repository-administrator action outside the completion worktree,Applying repository settings would change canonical configuration and requires repository-administrator action outside the completion worktree,EVIDENCE
