source_path,type,purpose,current_status,duplicate_of,repo_destination,action,reason,secret_or_large_file_risk,test_required
proof/live-talk-two-turn,proof-media,earlier-mission screenshots,untracked 2MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 2MB,no
proof/openai-live,proof-media,earlier-mission screenshots,untracked 3MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 3MB,no
proof/presentation-auth-recovery,proof-media,earlier-mission screenshots,untracked 3MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 3MB,no
proof/sol-living-v197,proof-media,earlier-mission screenshots,untracked 1MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 1MB,no
proof/v10-six-systems,proof-media,before/after and current-state screenshots,untracked 7MB,,proof/v10-six-systems,INTEGRATE,the visual evidence the PR is judged on; curated subset,size 7MB,no
proof/v197-phase1,proof-media,earlier-mission screenshots,untracked 1MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 1MB,no
proof/v5,proof-media,earlier-mission screenshots,untracked 0B,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 0B,no
proof/v8-baseline,proof-media,before/after and current-state screenshots,untracked 2MB,,proof/v8-baseline,INTEGRATE,the visual evidence the PR is judged on; curated subset,size 2MB,no
proof/v8-candidate,proof-media,before/after and current-state screenshots,untracked 7MB,,proof/v8-candidate,INTEGRATE,the visual evidence the PR is judged on; curated subset,size 7MB,no
proof/v8-stars,proof-media,earlier-mission screenshots,untracked 10MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 10MB,no
proof/v9-current-ui,proof-media,earlier-mission screenshots,untracked 45MB,,(left untracked),KEEP_AS_EVIDENCE,pre-existing local proof from earlier missions; not produced by this mission and too large to be worth committing,size 45MB,no
/home/nur/NUR-V5-100-COMPLETION/,workspace,"G00-G16 requirement matrix, gate matrix, decision log, blockers",outside repo 774KB,,docs/integration/v5-completion/,REWRITE_TO_FIT,valuable mission record; copied in as documentation minus the secret-evidence directory,contains .secret-evidence/ which must be excluded,no
/home/nur/NUR-V5-100-COMPLETION/.secret-evidence/,secret,OpenAI key fingerprints,"mode 700, outside repo",,(never),REJECT_SECRET,contains credential fingerprints; must never enter Git,SECRET,no
/home/nur/NUR-TRIBE-V2-PROOF/ (state files),docs/evidence,"TRIBE G17 provenance, blockers, resource profile, inference probe","outside repo, ~200KB of text",,docs/integration/tribe-g17/,REWRITE_TO_FIT,records the gated-encoder blocker and the Blackwell torch finding,none once .venv-tribe is excluded,no
/home/nur/NUR-TRIBE-V2-PROOF/.venv-tribe/,venv,isolated TRIBE python environment,8.2GB,,(never),REJECT_LARGE_BINARY,8.2GB virtualenv with torch and CUDA libraries,LARGE,no
/home/nur/NUR-QUARANTINE-SECRETS/,secret,quarantined archives containing historical API keys,"585MB, mode 700",,(never),REJECT_SECRET,contains live credential material; quarantined deliberately,SECRET + LARGE,no
/home/nur/NUR-TRIBE-V2-WT/,git-worktree,TRIBE neural-simulation specs on experiment/tribev2-neural-simulation,"separate worktree, already committed at e9d849a",,(its own branch),KEEP_AS_EVIDENCE,already version-controlled on its own branch; not part of this UI reconciliation,none,no
/home/nur/Downloads/NUR_V199_*.html,prototype,V199 front-page prototype analysed for the star paint,438KB local prototype,canonical V197 lineage,(not committed),REJECT_OBSOLETE,superseded prototype; its stellar star pipeline was ported into v43StarBrainRuntime.js instead,none,no
/home/nur/Downloads/NUR-UI-REFERENCES/,reference-media,founder reference videos,"directory created, empty",,(never),ARCHIVE_OUTSIDE_REPO,raw reference video must not enter Git; directory is empty in any case,LARGE if populated,no
/tmp/claude-*/scratchpad/,temp,"working scratch files, decoded HTML, pristine wheels",session temp,,(never),REJECT_OBSOLETE,temporary working files with no lasting value,none,no
