"requirement_id","source_document","source_line_range","gate","feature","required_behavior","current_files","current_implementation","visible_v197_control","bridge_binding","api_endpoint","service","database_model","migration","authorization_or_rls","worker_or_external_provider","unit_test","integration_test","browser_e2e","runtime_evidence","operational_evidence","current_status","exact_gap","required_fix","acceptance_test","founder_action_required","final_verdict"
"G01-004","MASTERPLAN_V5","3376","G01_STATIC","Frontend typecheck","tsc --noEmit clean","apps/web","","","","","","","","","","npm run web:typecheck","","","exit 0, no diagnostics","","PASS","","","npm run web:typecheck","","PASS"
"G01-005","MASTERPLAN_V5","3376","G01_STATIC","Frontend unit tests","All web unit tests pass","apps/web/src/**/__tests__","","","","","","","","","","npm run web:test","","","16 files / 63 tests passed","","PASS","","","npm run web:test","","PASS"
"G01-006","MASTERPLAN_V5","3376","G01_STATIC","Production build","Web production build succeeds","apps/web","","","","","","","","","","npm run web:build","","","web:build exit 0 in gate run 20260724T225447Z","","PASS","","","npm run web:build","","PASS"
"G01-007","MASTERPLAN_V5","3376","G01_STATIC","Mobile typecheck/build","apps/mobile typecheck passes where configured","apps/mobile","","","","","","","","","","npm run mobile:typecheck","","","mobile:typecheck exit 0 in gate run 20260724T225447Z","","PASS","","","npm run mobile:typecheck","","PASS"
"G01-008","MASTERPLAN_V5","3376","G01_STATIC","Secret scan","No provider key/token/bearer pattern in scanned artifacts","infra/scripts/secret-scan.sh","","","","","","","","","","npm run secret-scan","","","exit 0, scan passed","","PASS","","","npm run secret-scan","","PASS"
"G01-009","MASTERPLAN_V5","3376","G01_STATIC","Dependency audit / SBOM","CI dependency + SBOM scan with blocking thresholds","(none)","","","","","","","","","","","","","","","MISSING","No SBOM generator, no dependency audit gate in repo","","define deterministic command in nur-gate.sh","","OPEN"
"G01-010","MASTERPLAN_V5","3376","G01_STATIC","Release naming scan","Release surface uses only public NUR naming","infra/scripts/release-naming-scan.sh","","","","","","","","","","npm run release:naming-scan","","","PASS","","PASS","","","npm run release:naming-scan","","PASS"
"G01-011","MASTERPLAN_V5","3376","G01_STATIC","V197 integrity","Canonical host/entry/universe hashes match pinned values","scripts/check-v197-integrity.ts","","","","","","","","","","npm run v197:integrity","","","pass=true","","PASS","Passes against repo-pinned hashes; see G00-002 for plan-vs-repo hash conflict","","npm run v197:integrity","","PASS"
"G01-012","MASTERPLAN_V5","3376","G01_STATIC","Alembic single head","Exactly one migration head","apps/api/alembic/versions/","","","","","","","","","","alembic heads","","","0030_project_execution_storage (head)","","PASS","","","alembic heads","","PASS"
"G01-013","MASTERPLAN_V5","3376","G01_STATIC","Zero-to-head migration","alembic upgrade head on an empty database","apps/api/alembic","","","","","","","","","","","","","Implicit in the 180-pass run","","PASS","conftest creates a fresh DB and runs alembic upgrade head each session","","define deterministic command in nur-gate.sh","","PASS"
"G01-014","MASTERPLAN_V5","3376","G01_STATIC","Upgrade from populated prior revision","Upgrade a seeded prior revision to head","","","","","","","","","","","","","","","","MISSING","No test upgrades a populated pre-0030 database","","define deterministic command in nur-gate.sh","","OPEN"
"G01-015","MASTERPLAN_V5","3376","G01_STATIC","Downgrade / rollback migration","Downgrade path or explicit irreversible procedure","apps/api/alembic/versions/","","","","","","","","","","","","","","","UNPROVEN","Downgrade functions exist per revision but no test executes downgrade","","define deterministic command in nur-gate.sh","","OPEN"
"G01-016","MASTERPLAN_V5","3376","G01_STATIC","git diff --check","No whitespace/conflict markers","","","","","","","","","","","git diff --check","","","clean","","PASS","","","git diff --check","","PASS"
"G01-017","MASTERPLAN_V5","3376","G01_STATIC","Clean boot from fresh clone/extract","Fresh clone or extracted RC boots","infra/scripts/boot-smoke.sh, RUN_NUR.sh","","","","","","","","","","","","","","","UNPROVEN","boot-smoke.sh exists; not executed against a fresh extract this session","","define deterministic command in nur-gate.sh","","OPEN"
"G02-001","MASTERPLAN_V5","302-337","G02_AUTH","Register","Fresh signup creates user + session","api/v1/auth.py","","","","POST /api/v1/auth/register","auth_service.py","user.py","0001","RLS on owner rows (0002_rls_policies)","","test_auth.py","","fresh-signup.spec.ts","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-002","MASTERPLAN_V5","302-337","G02_AUTH","Login","Login issues HttpOnly session + CSRF cookie","api/v1/auth.py","","","","POST /api/v1/auth/login","auth_service.py","session.py","0001","RLS on owner rows (0002_rls_policies)","","test_auth.py","","auth.spec.ts, landing-auth.spec.ts","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-003","MASTERPLAN_V5","302-337","G02_AUTH","Session restoration","/auth/me restores an authenticated session after refresh","api/v1/auth.py","","","","GET /api/v1/auth/me","auth_service.py","session.py","0001","RLS on owner rows (0002_rls_policies)","","test_auth.py","","presentation-auth-recovery.spec.ts","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-004","MASTERPLAN_V5","302-337","G02_AUTH","Logout","Logout 204 then /me 401 and landing recovery","api/v1/auth.py","","","","POST /api/v1/auth/logout","auth_service.py","session.py","0001","RLS on owner rows (0002_rls_policies)","","test_auth.py","","landing-auth.spec.ts","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-005","MASTERPLAN_V5","302-337","G02_AUTH","CSRF / origin enforcement","Forged origin and absent/invalid token rejected on every mutation","app/core/security.py","","","","(all mutations)","auth_service.py","","","RLS on owner rows (0002_rls_policies)","","test_auth.py","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PARTIAL","Double-submit CSRF implemented; no full forged-origin x mutation matrix test","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-006","MASTERPLAN_V5","302-337","G02_AUTH","Rate limiting","Login/register/password endpoints throttled per IP","app/services/rate_limit.py","","","","","rate_limit.py","","","RLS on owner rows (0002_rls_policies)","","test_auth.py::*_rate_limited_after_burst","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PARTIAL","Fixed-window Redis limiter works; fails OPEN in development; no distributed/bypass/race test","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-007","MASTERPLAN_V5","302-337","G02_AUTH","Enumeration-safe forgot password","Identical accepted response for existing and unknown accounts","api/v1/password_recovery.py","","","","POST /api/v1/auth/password/forgot","password_recovery_service.py","password_recovery.py","0022","RLS on owner rows (0002_rls_policies)","","test_password_recovery.py","","presentation-auth-recovery.spec.ts","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-008","MASTERPLAN_V5","302-337","G02_AUTH","Hashed expiring single-use reset token","High-entropy token stored only as hash, single use, expiring","api/v1/password_recovery.py","","","","POST /api/v1/auth/password/reset","password_recovery_service.py","password_recovery.py","0022","RLS on owner rows (0002_rls_policies)","","test_password_recovery.py","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-009","MASTERPLAN_V5","302-337","G02_AUTH","Reset replay/race/expiry","Replay rejected; race safe; expired token rejected","","","","","","password_recovery_service.py","password_recovery.py","0022","RLS on owner rows (0002_rls_policies)","","test_password_recovery.py","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PARTIAL","Replay/expiry covered; concurrent-race test not present","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-010","MASTERPLAN_V5","302-337","G02_AUTH","Session revocation after reset","All prior sessions invalid after a completed reset","","","","","","password_recovery_service.py","session.py","0022","RLS on owner rows (0002_rls_policies)","","test_password_recovery.py","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-011","MASTERPLAN_V5","302-337","G02_AUTH","Authenticated change password","Requires current password + CSRF/session","api/v1/password_recovery.py","","","","POST /api/v1/auth/password/change","password_recovery_service.py","","0022","RLS on owner rows (0002_rls_policies)","","test_password_recovery.py","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PASS","","","Serial + normal-parallel browser suite green on the candidate","","PASS"
"G02-012","MASTERPLAN_V5","302-337","G02_AUTH","Email verification","Verification flow if required by release contract","","","","","","","","","RLS on owner rows (0002_rls_policies)","","","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","MISSING","No email verification implementation","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-013","MASTERPLAN_V5","302-337","G02_AUTH","Security/session management UI","User can list and revoke active sessions","","","","","","","session.py","","RLS on owner rows (0002_rls_policies)","","","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","MISSING","No security-sessions surface or route; V5 SEC-001 requirement unmet","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-014","MASTERPLAN_V5","302-337","G02_AUTH","Account export","Owner exports their data with provenance","","","","","","","","","RLS on owner rows (0002_rls_policies)","","","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","BACKEND_ONLY","Omega export foundation exists; settings.export is NOT_IMPLEMENTED_VISIBLE in the control matrix","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-015","MASTERPLAN_V5","302-337","G02_AUTH","Account deletion + receipts","Delete request, grace, purge, provider cleanup, receipt","","","","","POST /api/v1/account/delete","","","","RLS on owner rows (0002_rls_policies)","","","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","MISSING","settings.delete is NOT_IMPLEMENTED_VISIBLE; no deletion_requests lifecycle","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-016","MASTERPLAN_V5","302-337","G02_AUTH","Audit records","Auth lifecycle emits audit events without secret content","app/services/audit_service.py","","","","","audit_service.py","audit.py","0001","RLS on owner rows (0002_rls_policies)","","","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","PARTIAL","Audit service exists; retention/redaction/export tests absent","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G02-017","MASTERPLAN_V5","302-337","G02_AUTH","Full account-lifecycle E2E","register->logout/login->forgot->reset->replay rejected->old sessions rejected->change->export->delete->revoked","","","","","","","","","RLS on owner rows (0002_rls_policies)","","","","","Backend legs proven by the 180-pass run; browser legs NOT run this session","","MISSING","No single E2E covers the whole chain; export and delete legs do not exist","","Serial + normal-parallel browser suite green on the candidate","","OPEN"
"G03-001","MASTERPLAN_V5","1239-1374","G03_V197","Canonical source hash","Host/entry/universe hashes pinned and enforced","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","npm run v197:integrity","","","PASS","","","Zero critical BROKEN; parity thresholds pass on the candidate","","PASS"
"G03-002","MASTERPLAN_V5","1239-1374","G03_V197","One Entry stage / one Universe stage","Exactly one Entry and one Universe stage owner","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-forensic-shell.spec.ts","","","UNPROVEN","v197-forensic-shell.spec.ts asserts it; suite not run this session","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-003","MASTERPLAN_V5","1239-1374","G03_V197","No React visual owner","React must not own visible presentation DOM","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-host-parity.spec.ts","","","UNPROVEN","v197-host-parity.spec.ts asserts it; not run this session","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-004","MASTERPLAN_V5","1239-1374","G03_V197","No hidden duplicate shell","No duplicate canonical runtime or Base64 blob in the production mode","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-host-parity.spec.ts","","","PARTIAL","rebuild-v197-canonical.mjs pruned duplicates; residual Base64 constants still embedded in the host","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-005","MASTERPLAN_V5","1239-1374","G03_V197","Route/session lifecycle cleanup","No duplicate listeners/observers/canvases/RAF owners after route or session change","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-runtime-lifecycle.spec.ts","","","UNPROVEN","v197-runtime-lifecycle.spec.ts exists; not run this session","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-006","MASTERPLAN_V5","1239-1374","G03_V197","Every visible control classified","90 controls classified; zero release-critical BROKEN","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-control-matrix.spec.ts","matrix regenerated on this candidate: generated_from_sha now matches HEAD; 90 controls, 0 BROKEN; selector origin 31 canonical / 58 bridge / 1 n-a","","PARTIAL","docs/release/v197-control-matrix.json: 73 LIVE_REAL, 8 INTENTIONAL_LOCAL_ONLY, 7 NOT_IMPLEMENTED_VISIBLE, 2 BLOCKED_BY_EXTERNAL_PROVIDER, 0 BROKEN. Matrix generated_from_sha=33a5dab (a different worktree) so it is STALE for 6d7eeef","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-007","MASTERPLAN_V5","1239-1374","G03_V197","Seven deferred visible controls","plan.direction, community.legacy-tabs, ritual.control, voice.composer, settings.export, settings.delete, community.future-tabs implemented or founder-excluded","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-control-matrix.spec.ts","","","MISSING","All 7 remain NOT_IMPLEMENTED_VISIBLE","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-008","MASTERPLAN_V5","1239-1374","G03_V197","Personal Memory reachable from V197","Owner can view/edit/delete/export personal memory from the canonical shell","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","","","","BACKEND_ONLY","api/v1/memory.py + models/memory.py + migration 0023 exist; no control in the V197 matrix","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-009","MASTERPLAN_V5","1239-1374","G03_V197","Teach NUR reachable from V197","Teach mode + review status visible in the canonical shell","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","","","","BACKEND_ONLY","app/learning/ + migration 0024 exist; no control in the V197 matrix","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-010","MASTERPLAN_V5","1239-1374","G03_V197","Billing reachable from V197","Plan/checkout/portal/cancel visible in the canonical shell","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","","","","BACKEND_ONLY","app/billing/ + migration 0025 exist; no control in the V197 matrix","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-011","MASTERPLAN_V5","1239-1374","G03_V197","Capsule creation from V197","Owner creates a Capsule from the canonical shell","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","capsule.spec.ts","","","PARTIAL","capsule.copy is INTENTIONAL_LOCAL_ONLY; capsules API + tests exist; owner creation UI unproven","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-012","MASTERPLAN_V5","1239-1374","G03_V197","No native white controls","No browser-default/unstyled inputs in the canonical shell","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-adjunct-forensic-style.spec.ts","","","UNPROVEN","v197-adjunct-forensic-style.spec.ts asserts styling; not run this session","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-013","MASTERPLAN_V5","1239-1374","G03_V197","Desktop and mobile parity","Same control truth on desktop and mobile projects","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-responsive-accessibility.spec.ts","","","UNPROVEN","chromium-desktop and chromium-mobile projects configured; not run this session","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G03-014","MASTERPLAN_V5","1239-1374","G03_V197","Physical viewport centring","abs(element_center_x - viewport_center_x) <= 2px at 1440x900, 1280x720, 430x932, 393x852, LTR+RTL","apps/web/public/v197/, apps/web/src/bridge/","","","v197Bridge.ts, v197Bindings.ts, v197Selectors.ts, v197Mutations.ts","","","","","","","","","v197-language-wordmark.spec.ts","","","UNPROVEN","Centring assertions exist in the V197 specs; the 4-viewport x 2-direction matrix is not proven","","Zero critical BROKEN; parity thresholds pass on the candidate","","OPEN"
"G04-001","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Chrome performance trace","Trace captured on the candidate before any modification","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: trace artifact per run","","OPEN"
"G04-002","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","RAF/canvas/listener/observer inventory","Exactly one persistent canvas and one RAF owner","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: 1 canvas / 1 RAF","","OPEN"
"G04-003","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Long-task and LoAF attribution","No recurring idle long task >50 ms","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: >50ms idle = fail","","OPEN"
"G04-004","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Heap at 0s / 60s / 600s","No unbounded heap/listener/observer/canvas growth","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: 10-minute soak","","OPEN"
"G04-005","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Route/auth/Talk soak","Repeated route and auth cycles do not leak","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: 10-minute soak","","OPEN"
"G04-006","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Critical interaction timing","Lab critical interaction <=200 ms; field p75 INP <=200 ms","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: <=200ms","","OPEN"
"G04-007","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Bundle and font waterfall","Bundle budget gate with unused-CSS/code-split analysis","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: budget gate","","OPEN"
"G04-008","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Desktop galaxy FPS","55-60 FPS warm on a named reference device","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: 55-60 FPS","","OPEN"
"G04-009","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Mobile galaxy FPS",">=45 FPS on a named mid-tier device","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: >=45 FPS","","OPEN"
"G04-010","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Reduced motion","prefers-reduced-motion materially reduces work","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: measured work delta","","OPEN"
"G04-011","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Cross-browser matrix","Chromium desktop+mobile, Firefox desktop, WebKit mobile","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: 4 profiles","","OPEN"
"G04-012","MASTERPLAN_V5","1412-1441, 3393-3415","G04_PERFORMANCE","Keyboard-only + automated a11y","WCAG 2.2 AA automated pass plus keyboard/focus/modal checks","apps/web/e2e/v197-performance.spec.ts, v197-performance-acceptance.spec.ts, docs/v197-performance-report.md","Performance specs and an older performance report exist in the repo","","","","","","","","","","","v197-performance-acceptance.spec.ts","","","UNPROVEN","No measurement captured on 6d7eeef this session; named reference devices not declared","Run the performance suite on the candidate and record device-named measurements","budget: WCAG 2.2 AA","","OPEN"
